,precision,recall,f1-score,support
Cloud Cover,0.75,1.0,0.8571428571428571,6.0
Debris Cover,0.3333333333333333,0.3333333333333333,0.3333333333333333,6.0
Moraine,0.42857142857142855,0.5,0.46153846153846156,6.0
Snow Cover,0.4444444444444444,0.6666666666666666,0.5333333333333333,6.0
Terraine Shadow,1.0,0.6666666666666666,0.8,6.0
Turbidity,0.0,0.0,0.0,6.0
accuracy,0.5277777777777778,0.5277777777777778,0.5277777777777778,0.5277777777777778
macro avg,0.49272486772486773,0.5277777777777778,0.49755799755799757,36.0
weighted avg,0.4927248677248677,0.5277777777777778,0.49755799755799757,36.0
